mep_identifier	mep_honorific_prefix	mep_given_name	mep_family_name	mep_official_given_name	mep_official_family_name	mep_gender	mep_citizenship	mep_place_of_birth	mep_birthday	mep_death_date	mep_image	mep_email	mep_homepage	mep_twitter	mep_facebook_page	mep_facebook_profile	mep_country_of_representation	mep_political_group	mep_instagram	mep_URI	mep_polgroup	mep_polgrupo_sig
96936	Mr	Gabriel	Mato			male	Espa�a	Madrid	1961-04-29^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96936.jpg	mailto:gabriel.mato@europarl.europa.eu	http://www.gabrielmato.com/	https://twitter.com/GabrielMatoA	https://www.facebook.com/gabrielmatoadrover/		Espa�a	Grupo del Partido Popular Europeo	https://www.instagram.com/gabrielmatoadrover/	https://data.europarl.europa.eu/person/96936	Partido Popular	PP
2341	Mr	Michael	Gahler			male	Alemania	Frankfurt/Main	1960-04-22^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/2341.jpg	mailto:michael.gahler@europarl.europa.eu	http://www.michael-gahler.eu	https://twitter.com/gahler_michael	https://www.facebook.com/Michael.Gahler.EU/		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/gahler.michael/	https://data.europarl.europa.eu/person/2341	Christlich Demokratische Union Deutschlands	CDU
58766	Mr	Nicolae	?tef?nu??			male	Ruman�a	R??inari	1982-01-03^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/58766.jpg	mailto:nicolae.stefanuta@europarl.europa.eu	https://www.stefanuta.ro/	https://twitter.com/nicustefanuta	https://www.facebook.com/NicuStefanutaMEP/		Ruman�a	Grupo de Los Verdes/Alianza Libre Europea	https://www.instagram.com/nicustefanuta	https://data.europarl.europa.eu/person/58766		
23781	Mr	Janusz	Lewandowski			male	Polonia	Lublin	1951-06-13^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/23781.jpg	mailto:janusz.lewandowski@europarl.europa.eu	http://www.januszlewandowski.pl	https://twitter.com/J_Lewandowski	https://www.facebook.com/Lewandowski.Janusz		Polonia	Grupo del Partido Popular Europeo	https://www.instagram.com/janusz_lewandowski/	https://data.europarl.europa.eu/person/23781		
96933	Mr	Milan	Zver			male	Eslovenia	Ljubljana	1962-05-25^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96933.jpg	mailto:milan.zver@europarl.europa.eu	http://www.milanzver.eu/	https://twitter.com/MilanZver	https://www.facebook.com/milan.zver		Eslovenia	Grupo del Partido Popular Europeo	https://www.instagram.com/milan.zver/	https://data.europarl.europa.eu/person/96933	Slovenska demokratska stranka	SDS
840	Mr	Charles	Goerens			male	Luxemburgo	Ettelbruck	1952-02-06^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/840.jpg	mailto:charles.goerens@europarl.europa.eu	https://charlesgoerens.eu/	https://twitter.com/CharlesGoerens	https://www.facebook.com/charles.goerens		Luxemburgo	Grupo Renovar Europa	https://www.instagram.com/cgoerens/?hl=fr	https://data.europarl.europa.eu/person/840		
96668	Mr	Se�n	Kelly			male	Rep�blica de Irlanda	Killarney	1952-04-26^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96668.jpg	mailto:sean.kelly@europarl.europa.eu	http://www.seankelly.eu/	https://twitter.com/SeanKellyMEP	https://www.facebook.com/sean.kellymep		Rep�blica de Irlanda	Grupo del Partido Popular Europeo	https://www.instagram.com/seankellymep/	https://data.europarl.europa.eu/person/96668		
28400	Mr	Francisco Jos�	Mill�n Mon			male	Espa�a	Pontevedra	1955-03-08^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28400.jpg	mailto:francisco.millanmon@europarl.europa.eu		https://twitter.com/PacoMillanMon	https://www.facebook.com/Francisco-Mill%C3%A1n-Mon-101795278943999		Espa�a	Grupo del Partido Popular Europeo	https://www.instagram.com/franciscomillanmon/	https://data.europarl.europa.eu/person/28400	Partido Popular	PP
103381	Ms	Terry	Reintke			female	Alemania	Gelsenkirchen	1987-05-09^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/103381.jpg	mailto:terry.reintke@europarl.europa.eu	https://terryreintke.eu/	https://twitter.com/TerryReintke	https://www.facebook.com/terry.reintke		Alemania	Grupo de Los Verdes/Alianza Libre Europea	https://www.instagram.com/terry_reintke/	https://data.europarl.europa.eu/person/103381	B�ndnis 90/Die Gr�nen	Gr�ne
28150	Ms	Kinga	G�l			female	Hungr�a	Kolozsv�r			https://www.europarl.europa.eu/mepphoto/28150.jpg	mailto:kinga.gal@europarl.europa.eu	https://galkinga.hu/en/				Hungr�a	Grupo Patriotas por Europa		https://data.europarl.europa.eu/person/28150	Fidesz � Magyar Polg�ri Sz�vets�g - Kereszt�nydemokrata N�pp�rt	Fidesz-KDNP
96681	Ms	Vilija	Blinkevi?i?t?			female	Lituania	Linkuva	1960-03-03^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96681.jpg	mailto:vilija.blinkeviciute@europarl.europa.eu					Lituania	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/96681		
28226	Mr	Christian	Ehler			male	Alemania	M�nchen	1963-08-17^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28226.jpg	mailto:christian.ehler@europarl.europa.eu	https://ehler.eu/	https://twitter.com/mep_ehler	https://www.facebook.com/ehler/		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/dr_christian_ehler/	https://data.europarl.europa.eu/person/28226	Christlich Demokratische Union Deutschlands	CDU
96697	Mr	Waldemar	Tomaszewski			male	Lituania	Vilnius	1965-03-03^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96697.jpg	mailto:waldemar.tomaszewski@europarl.europa.eu	http://www.vtomasevski.lt		https://www.facebook.com/VTomasevski		Lituania	Grupo de los Conservadores y Reformistas Europeos		https://data.europarl.europa.eu/person/96697		
23699	Ms	Kate?ina	Kone?n�			female	Rep�blica Checa	Nov� Ji?�n	1981-01-20^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/23699.jpg	mailto:katerina.konecna@europarl.europa.eu	"http://www.konecna.cz; https://www.konecna.cz"	https://x.com/Konecna_K			Rep�blica Checa	Miembro no adscrito		https://data.europarl.europa.eu/person/23699		
40599	Ms	Sirpa	Pietik�inen			female	Finlandia	Parikkala	1959-04-19^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/40599.jpg	mailto:sirpa.pietikainen@europarl.europa.eu	https://www.sirpapietikainen.net/	https://twitter.com/spietikainen	https://www.facebook.com/MEPsirpapietikainen		Finlandia	Grupo del Partido Popular Europeo	https://www.instagram.com/sirpapietikainen/	https://data.europarl.europa.eu/person/40599	Kansalinen Kokoomus	KK
28399	Mr	Antonio	L�pez-Ist�riz White			male	Espa�a	Pamplona	1970-04-01^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28399.jpg	mailto:antonio.lopezisturiz@europarl.europa.eu	http://www.antoniolopezisturiz.eu	https://twitter.com/TonoEPP	https://www.facebook.com/tonoepp/		Espa�a	Grupo del Partido Popular Europeo	https://www.instagram.com/tonoepp/	https://data.europarl.europa.eu/person/28399	Partido Popular	PP
5729	Ms	Kathleen	Van Brempt			female	B�lgica	Wilrijk	1969-11-18^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/5729.jpg	mailto:kathleen.vanbrempt@europarl.europa.eu					B�lgica	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/5729	Vooruit	Vooruit
28617	Ms	Inese	Vaidere			female	Letonia	Jelgava	1952-09-03^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28617.jpg	mailto:inese.vaidere@europarl.europa.eu	https://vaidere.lv/	https://twitter.com/inesevaidere	https://www.facebook.com/Prof.Inese.Vaidere		Letonia	Grupo del Partido Popular Europeo	https://www.instagram.com/inese_vaidere	https://data.europarl.europa.eu/person/28617		
98582	Mr	Lor�nt	Vincze			male	Ruman�a	T�rgu Mure? / Marosv�s�rhely	1977-11-03^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/98582.jpg	mailto:lorant.vincze@europarl.europa.eu	https://vinczelorant.eu/hu/	https://twitter.com/vinczelorant	https://www.facebook.com/vincze.lorant.2019/		Ruman�a	Grupo del Partido Popular Europeo	https://www.instagram.com/lorantvinczeinsta/	https://data.europarl.europa.eu/person/98582		
96812	Mr	Juan Fernando	L�pez Aguilar			male	Espa�a	Las Palmas	1961-06-10^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96812.jpg	mailto:juanfernando.lopezaguilar@europarl.europa.eu		https://twitter.com/JFLopezAguilar	https://www.facebook.com/JFLAguilar		Espa�a	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/96812	Partido Socialista Obrero Espa�ol	PSOE
99945	Ms	Lena	D�pont			female	Alemania	Dortmund	1986-04-30^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/99945.jpg	mailto:lena.duepont@europarl.europa.eu	https://www.lena-duepont.eu/	https://twitter.com/lenaduepontmdep	https://www.facebook.com/lenaduepont.eu/		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/lenaduepont/?hl=de	https://data.europarl.europa.eu/person/99945	Christlich Demokratische Union Deutschlands	CDU
4289	Ms	Angelika	Niebler			female	Alemania	M�nchen	1963-02-18^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/4289.jpg	mailto:angelika.niebler@europarl.europa.eu	http://www.angelika-niebler.de/	https://twitter.com/ANiebler	https://www.facebook.com/aniebler		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/angelika.niebler	https://data.europarl.europa.eu/person/4289	Christlich-Soziale Union in Bayern	CSU
96791	Ms	El?bieta Katarzyna	?ukacijewska			female	Polonia	Jas?o	1966-11-25^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96791.jpg	mailto:elzbieta.lukacijewska@europarl.europa.eu	http://www.lukacijewska.pl/	https://twitter.com/elukacijewska	https://www.facebook.com/lukacijewska	https://www.facebook.com/lukacijewska.elzbieta	Polonia	Grupo del Partido Popular Europeo	https://www.instagram.com/ela_lukacijewska/	https://data.europarl.europa.eu/person/96791		
24922	Mr	Pascal	Arimont			male	B�lgica	Malmedy	1974-09-25^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/24922.jpg	mailto:pascal.arimont@europarl.europa.eu	https://pascal-arimont.eu/	https://twitter.com/pascal_arimont	https://www.facebook.com/pascalarimont.official		B�lgica	Grupo del Partido Popular Europeo	https://www.instagram.com/pascalarimontmep/	https://data.europarl.europa.eu/person/24922	Christen-Democratisch en Vlaams	CD&V
30482	Mr	Younous	Omarjee			male	Francia	Saint-Denis (R�union)	1969-09-30^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/30482.jpg	mailto:younous.omarjee@europarl.europa.eu		https://twitter.com/younousomarjee	https://www.facebook.com/pages/category/politician/Younous-Omarjee-2310917338926472	https://www.facebook.com/younous.omarjee	Francia	La Izquierda en el Parlamento Europeo-GUE/NGL	https://www.instagram.com/younousomarjee	https://data.europarl.europa.eu/person/30482	La France insoumise	LFI
96756	Ms	Sabine	Verheyen			female	Alemania	Aachen	1964-10-24^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96756.jpg	mailto:sabine.verheyen@europarl.europa.eu	http://www.sabine-verheyen.de/	https://twitter.com/sabineverheyen	https://www.facebook.com/mdep.ac		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/sabineverheyen	https://data.europarl.europa.eu/person/96756	Christlich Demokratische Union Deutschlands	CDU
96787	Mr	Herbert	Dorfmann			male	Italia	Brixen	1969-03-04^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96787.jpg	mailto:herbert.dorfmann@europarl.europa.eu	http://www.herbert-dorfmann.eu	https://twitter.com/HerbertDorfmann	https://www.facebook.com/herbert.dorfmann		Italia	Grupo del Partido Popular Europeo	https://www.instagram.com/herbertdorfmann/	https://data.europarl.europa.eu/person/96787		
96752	Mr	Martin	H�usling			male	Alemania	Bad Wildungen	1961-03-26^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96752.jpg	mailto:martin.haeusling@europarl.europa.eu	http://www.martin-haeusling.eu/	https://twitter.com/MartinHaeusling	https://www.facebook.com/martin.hausling		Alemania	Grupo de Los Verdes/Alianza Libre Europea	https://www.instagram.com/martin_haeusling/	https://data.europarl.europa.eu/person/96752	B�ndnis 90/Die Gr�nen	Gr�ne
96934	Ms	Sandra	Kalniete			female	Letonia	Tomskas apg. Kolpa�evas raj. Toguras ciems	1952-12-22^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96934.jpg	mailto:sandra.kalniete@europarl.europa.eu		https://twitter.com/kalniete	https://www.facebook.com/kalniete.sandra/		Letonia	Grupo del Partido Popular Europeo	https://www.instagram.com/sandrakalnietelv/	https://data.europarl.europa.eu/person/96934		
28615	Mr	Roberts	Z?le			male	Letonia	R?ga	1958-06-20^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28615.jpg	mailto:roberts.zile@europarl.europa.eu					Letonia	Grupo de los Conservadores y Reformistas Europeos		https://data.europarl.europa.eu/person/28615		
96810	Mr	Carlo	Fidanza			male	Italia	San Benedetto del Tronto	1976-09-21^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96810.jpg	mailto:carlo.fidanza@europarl.europa.eu		http://twitter.com/fidanzacarlo	https://www.facebook.com/fidanzacarlo		Italia	Grupo de los Conservadores y Reformistas Europeos	https://www.instagram.com/carlo.fidanza	https://data.europarl.europa.eu/person/96810		
28223	Mr	Andreas	Schwab			male	Alemania	Rottweil			https://www.europarl.europa.eu/mepphoto/28223.jpg	mailto:andreas.schwab@europarl.europa.eu	https://www.andreas-schwab.de	https://twitter.com/Andreas_Schwab	https://www.facebook.com/aschwab.mdep/		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/andreasschwab_mdep/?igshid=1qkxgol6ax7b6	https://data.europarl.europa.eu/person/28223	Christlich Demokratische Union Deutschlands	CDU
22858	Ms	Fabienne	Keller			female	Francia	S�lestat	1959-10-20^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/22858.jpg	mailto:fabienne.keller@europarl.europa.eu	https://fabiennekeller.eu/	https://twitter.com/fabienne_keller	https://www.facebook.com/KellerFabienne		Francia	Grupo Renovar Europa	https://www.instagram.com/fabienne_keller/	https://data.europarl.europa.eu/person/22858	Renaissance	R
1927	Mr	Peter	Liese			male	Alemania		1965-05-20^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/1927.jpg	mailto:peter.liese@europarl.europa.eu	http://www.peter-liese.de/	http://twitter.com/peterliese	https://www.facebook.com/peter.liese		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/peter.liese.cdu/	https://data.europarl.europa.eu/person/1927	Christlich Demokratische Union Deutschlands	CDU
28298	Ms	Iratxe	Garc�a P�rez			female	Espa�a	Baracaldo	1974-10-07^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28298.jpg	mailto:iratxe.garcia-perez@europarl.europa.eu	http://www.iratxegarcia.es/	https://twitter.com/IratxeGarper		https://www.facebook.com/iratxe.garciaperez?fref=ts	Espa�a	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/28298	Partido Socialista Obrero Espa�ol	PSOE
96833	Mr	Jens	Geier			male	Alemania	Frankfurt	1961-06-22^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96833.jpg	mailto:jens.geier@europarl.europa.eu					Alemania	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/96833	Sozialdemokratische Partei Deutschlands	SPD
96932	Ms	Birgit	Sippel			female	Alemania	Bochum	1960-01-29^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96932.jpg	mailto:birgit.sippel@europarl.europa.eu	http://www.birgitsippel.de	https://twitter.com/BirgitSippelMEP		https://www.facebook.com/BirgitSippel	Alemania	Grupo de la Alianza Progresista de Socialistas y Dem�cratas	https://www.instagram.com/birgit_sippel	https://data.europarl.europa.eu/person/96932	Sozialdemokratische Partei Deutschlands	SPD
