mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_country_of_representation,mep_political_group,mep_instagram,mep_URI
1917,Mr,Markus,Ferber,,,male,Germany,Augsburg,1965-01-15^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1917.jpg,mailto:markus.ferber@europarl.europa.eu,http://www.markus-ferber.de/,https://twitter.com/MarkusFerber,https://www.facebook.com/MarkusFerberEU,,Germany,Group of the European People's Party (Christian Democrats),,https://data.europarl.europa.eu/person/1917
28229,Mr,Manfred,Weber,,,male,Germany,Niederhatzkofen,1972-07-14^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28229.jpg,mailto:manfred.weber@europarl.europa.eu,http://www.manfredweber.eu/,https://twitter.com/ManfredWeber,https://www.facebook.com/manfred.weber,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/manfred.weber/,https://data.europarl.europa.eu/person/28229
37312,Ms,Christel,Schaldemose,,,female,Denmark,Odense,1967-08-04^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/37312.jpg,mailto:christel.schaldemose@europarl.europa.eu,http://www.christels.dk,https://twitter.com/SchaldemoseMEP,,https://www.facebook.com/ChristelSchaldemose,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/37312
1909,Mr,Bernd,Lange,,,male,Germany,Oldenburg,1955-11-14^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1909.jpg,mailto:bernd.lange@europarl.europa.eu,,https://twitter.com/berndlange,,https://www.facebook.com/bernd.lange.europa/,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/1909
28390,Ms,Pilar,del Castillo Vera,,,female,Spain,Nador (Marruecos),1952-07-31^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28390.jpg,mailto:pilar.delcastillo@europarl.europa.eu,,http://twitter.com/delcastillop,,,Spain,Group of the European People's Party (Christian Democrats),,https://data.europarl.europa.eu/person/28390
88882,Mr,Victor,Negrescu,,,male,Romania,București,,,https://www.europarl.europa.eu/mepphoto/88882.jpg,mailto:victor.negrescu@europarl.europa.eu,,https://twitter.com/negrescuvictor,,https://it-it.facebook.com/victornegrescu/,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,https://www.instagram.com/victor_negrescu/,https://data.europarl.europa.eu/person/88882
23816,Mr,András,Gyürk,,,male,Hungary,Budapest,1972-12-02^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23816.jpg,mailto:andras.gyurk@europarl.europa.eu,https://gyurkandras.hu/hu/,,,,Hungary,Patriots for Europe Group,,https://data.europarl.europa.eu/person/23816
96830,Ms,Enikő,Győri,,,female,Hungary,Budapest,1968-07-17^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96830.jpg,mailto:eniko.gyori@europarl.europa.eu,https://gyori.fidesz-eu.hu/hu/,https://twitter.com/GyoriEniko,https://www.facebook.com/GyoriEnikoEP/,,Hungary,Patriots for Europe Group,,https://data.europarl.europa.eu/person/96830
28122,Mr,David,Casa,,,male,Malta,Valletta,1968-11-16^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28122.jpg,mailto:david.casa@europarl.europa.eu,,https://twitter.com/DavidCasaMEP,https://www.facebook.com/DavidCasaMEP/,,Malta,Group of the European People's Party (Christian Democrats),https://www.instagram.com/davidcasamep/,https://data.europarl.europa.eu/person/28122
4267,Mr,Udo,Bullmann,,,male,Germany,Gießen,1956-06-08^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/4267.jpg,mailto:udo.bullmann@europarl.europa.eu,http://www.udobullmann.de/,https://twitter.com/UdoBullmann,https://www.facebook.com/UdoBullmannMEP/,,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,https://www.instagram.com/UdoBullmann/,https://data.europarl.europa.eu/person/4267
23788,Mr,Adam,Bielan,,,male,Poland,Gdańsk,1974-09-12^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23788.jpg,mailto:adam.bielan@europarl.europa.eu,http://www.bielan.pl,http://twitter.com/AdamBielan,https://www.facebook.com/adambielan,,Poland,European Conservatives and Reformists Group,,https://data.europarl.europa.eu/person/23788
101039,Mr,Paolo,Borchia,,,male,Italy,NEGRAR,1980-05-27^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/101039.jpg,mailto:paolo.borchia@europarl.europa.eu,,https://twitter.com/paoloborchia?lang=en,https://www.facebook.com/PaoloBorchiaofficial/,,Italy,Patriots for Europe Group,https://www.instagram.com/paoloborchia/,https://data.europarl.europa.eu/person/101039
96826,Mr,Tamás,Deutsch,,,male,Hungary,Budapest,1966-07-27^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96826.jpg,mailto:tamas.deutsch@europarl.europa.eu,http://deutsch.fidesz-eu.hu/,https://twitter.com/dajcstomi,,https://www.facebook.com/people/Deutsch-Tam%C3%A1s/100000694338124,Hungary,Patriots for Europe Group,https://www.instagram.com/dajcstomi/,https://data.europarl.europa.eu/person/96826
5392,Ms,Lara,Wolters,,,female,Netherlands,Amsterdam,1986-04-12^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/5392.jpg,mailto:lara.wolters@europarl.europa.eu,,https://twitter.com/larawoltersEU,https://www.facebook.com/larawolters0/,,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,http://instagram.com/larawoltersEU,https://data.europarl.europa.eu/person/5392
96936,Mr,Gabriel,Mato,,,male,Spain,Madrid,1961-04-29^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96936.jpg,mailto:gabriel.mato@europarl.europa.eu,http://www.gabrielmato.com/,https://twitter.com/GabrielMatoA,https://www.facebook.com/gabrielmatoadrover/,,Spain,Group of the European People's Party (Christian Democrats),https://www.instagram.com/gabrielmatoadrover/,https://data.europarl.europa.eu/person/96936
2341,Mr,Michael,Gahler,,,male,Germany,Frankfurt/Main,1960-04-22^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/2341.jpg,mailto:michael.gahler@europarl.europa.eu,http://www.michael-gahler.eu,https://twitter.com/gahler_michael,https://www.facebook.com/Michael.Gahler.EU/,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/gahler.michael/,https://data.europarl.europa.eu/person/2341
58766,Mr,Nicolae,Ștefănuță,,,male,Romania,Rășinari,1982-01-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/58766.jpg,mailto:nicolae.stefanuta@europarl.europa.eu,https://www.stefanuta.ro/,https://twitter.com/nicustefanuta,https://www.facebook.com/NicuStefanutaMEP/,,Romania,Group of the Greens/European Free Alliance,https://www.instagram.com/nicustefanuta,https://data.europarl.europa.eu/person/58766
23781,Mr,Janusz,Lewandowski,,,male,Poland,Lublin,1951-06-13^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23781.jpg,mailto:janusz.lewandowski@europarl.europa.eu,http://www.januszlewandowski.pl,https://twitter.com/J_Lewandowski,https://www.facebook.com/Lewandowski.Janusz,,Poland,Group of the European People's Party (Christian Democrats),https://www.instagram.com/janusz_lewandowski/,https://data.europarl.europa.eu/person/23781
96933,Mr,Milan,Zver,,,male,Slovenia,Ljubljana,1962-05-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96933.jpg,mailto:milan.zver@europarl.europa.eu,http://www.milanzver.eu/,https://twitter.com/MilanZver,https://www.facebook.com/milan.zver,,Slovenia,Group of the European People's Party (Christian Democrats),https://www.instagram.com/milan.zver/,https://data.europarl.europa.eu/person/96933
840,Mr,Charles,Goerens,,,male,Luxembourg,Ettelbruck,1952-02-06^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/840.jpg,mailto:charles.goerens@europarl.europa.eu,https://charlesgoerens.eu/,https://twitter.com/CharlesGoerens,https://www.facebook.com/charles.goerens,,Luxembourg,Renew Europe Group,https://www.instagram.com/cgoerens/?hl=fr,https://data.europarl.europa.eu/person/840
96668,Mr,Seán,Kelly,,,male,Ireland,Killarney,1952-04-26^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96668.jpg,mailto:sean.kelly@europarl.europa.eu,http://www.seankelly.eu/,https://twitter.com/SeanKellyMEP,https://www.facebook.com/sean.kellymep,,Ireland,Group of the European People's Party (Christian Democrats),https://www.instagram.com/seankellymep/,https://data.europarl.europa.eu/person/96668
28400,Mr,Francisco José,Millán Mon,,,male,Spain,Pontevedra,1955-03-08^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28400.jpg,mailto:francisco.millanmon@europarl.europa.eu,,https://twitter.com/PacoMillanMon,https://www.facebook.com/Francisco-Mill%C3%A1n-Mon-101795278943999,,Spain,Group of the European People's Party (Christian Democrats),https://www.instagram.com/franciscomillanmon/,https://data.europarl.europa.eu/person/28400
103381,Ms,Terry,Reintke,,,female,Germany,Gelsenkirchen,1987-05-09^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/103381.jpg,mailto:terry.reintke@europarl.europa.eu,https://terryreintke.eu/,https://twitter.com/TerryReintke,https://www.facebook.com/terry.reintke,,Germany,Group of the Greens/European Free Alliance,https://www.instagram.com/terry_reintke/,https://data.europarl.europa.eu/person/103381
28150,Ms,Kinga,Gál,,,female,Hungary,Kolozsvár,,,https://www.europarl.europa.eu/mepphoto/28150.jpg,mailto:kinga.gal@europarl.europa.eu,https://galkinga.hu/en/,,,,Hungary,Patriots for Europe Group,,https://data.europarl.europa.eu/person/28150
96681,Ms,Vilija,Blinkevičiūtė,,,female,Lithuania,Linkuva,1960-03-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96681.jpg,mailto:vilija.blinkeviciute@europarl.europa.eu,,,,,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/96681
28226,Mr,Christian,Ehler,,,male,Germany,München,1963-08-17^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28226.jpg,mailto:christian.ehler@europarl.europa.eu,https://ehler.eu/,https://twitter.com/mep_ehler,https://www.facebook.com/ehler/,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/dr_christian_ehler/,https://data.europarl.europa.eu/person/28226
96697,Mr,Waldemar,Tomaszewski,,,male,Lithuania,Vilnius,1965-03-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96697.jpg,mailto:waldemar.tomaszewski@europarl.europa.eu,http://www.vtomasevski.lt,,https://www.facebook.com/VTomasevski,,Lithuania,European Conservatives and Reformists Group,,https://data.europarl.europa.eu/person/96697
23699,Ms,Kateřina,Konečná,,,female,Czechia,Nový Jičín,1981-01-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23699.jpg,mailto:katerina.konecna@europarl.europa.eu,http://www.konecna.cz; https://www.konecna.cz,https://x.com/Konecna_K,,,Czechia,Non-attached Members,,https://data.europarl.europa.eu/person/23699
40599,Ms,Sirpa,Pietikäinen,,,female,Finland,Parikkala,1959-04-19^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/40599.jpg,mailto:sirpa.pietikainen@europarl.europa.eu,https://www.sirpapietikainen.net/,https://twitter.com/spietikainen,https://www.facebook.com/MEPsirpapietikainen,,Finland,Group of the European People's Party (Christian Democrats),https://www.instagram.com/sirpapietikainen/,https://data.europarl.europa.eu/person/40599
28399,Mr,Antonio,López-Istúriz White,,,male,Spain,Pamplona,1970-04-01^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28399.jpg,mailto:antonio.lopezisturiz@europarl.europa.eu,http://www.antoniolopezisturiz.eu,https://twitter.com/TonoEPP,https://www.facebook.com/tonoepp/,,Spain,Group of the European People's Party (Christian Democrats),https://www.instagram.com/tonoepp/,https://data.europarl.europa.eu/person/28399
5729,Ms,Kathleen,Van Brempt,,,female,Belgium,Wilrijk,1969-11-18^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/5729.jpg,mailto:kathleen.vanbrempt@europarl.europa.eu,,,,,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/5729
28617,Ms,Inese,Vaidere,,,female,Latvia,Jelgava,1952-09-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28617.jpg,mailto:inese.vaidere@europarl.europa.eu,https://vaidere.lv/,https://twitter.com/inesevaidere,https://www.facebook.com/Prof.Inese.Vaidere,,Latvia,Group of the European People's Party (Christian Democrats),https://www.instagram.com/inese_vaidere,https://data.europarl.europa.eu/person/28617
98582,Mr,Loránt,Vincze,,,male,Romania,Târgu Mureș / Marosvásárhely,1977-11-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/98582.jpg,mailto:lorant.vincze@europarl.europa.eu,https://vinczelorant.eu/hu/,https://twitter.com/vinczelorant,https://www.facebook.com/vincze.lorant.2019/,,Romania,Group of the European People's Party (Christian Democrats),https://www.instagram.com/lorantvinczeinsta/,https://data.europarl.europa.eu/person/98582
96812,Mr,Juan Fernando,López Aguilar,,,male,Spain,Las Palmas,1961-06-10^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96812.jpg,mailto:juanfernando.lopezaguilar@europarl.europa.eu,,https://twitter.com/JFLopezAguilar,https://www.facebook.com/JFLAguilar,,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/96812
99945,Ms,Lena,Düpont,,,female,Germany,Dortmund,1986-04-30^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/99945.jpg,mailto:lena.duepont@europarl.europa.eu,https://www.lena-duepont.eu/,https://twitter.com/lenaduepontmdep,https://www.facebook.com/lenaduepont.eu/,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/lenaduepont/?hl=de,https://data.europarl.europa.eu/person/99945
4289,Ms,Angelika,Niebler,,,female,Germany,München,1963-02-18^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/4289.jpg,mailto:angelika.niebler@europarl.europa.eu,http://www.angelika-niebler.de/,https://twitter.com/ANiebler,https://www.facebook.com/aniebler,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/angelika.niebler,https://data.europarl.europa.eu/person/4289
96791,Ms,Elżbieta Katarzyna,Łukacijewska,,,female,Poland,Jasło,1966-11-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96791.jpg,mailto:elzbieta.lukacijewska@europarl.europa.eu,http://www.lukacijewska.pl/,https://twitter.com/elukacijewska,https://www.facebook.com/lukacijewska,https://www.facebook.com/lukacijewska.elzbieta,Poland,Group of the European People's Party (Christian Democrats),https://www.instagram.com/ela_lukacijewska/,https://data.europarl.europa.eu/person/96791
24922,Mr,Pascal,Arimont,,,male,Belgium,Malmedy,1974-09-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/24922.jpg,mailto:pascal.arimont@europarl.europa.eu,https://pascal-arimont.eu/,https://twitter.com/pascal_arimont,https://www.facebook.com/pascalarimont.official,,Belgium,Group of the European People's Party (Christian Democrats),https://www.instagram.com/pascalarimontmep/,https://data.europarl.europa.eu/person/24922
30482,Mr,Younous,Omarjee,,,male,France,Saint-Denis (Réunion),1969-09-30^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/30482.jpg,mailto:younous.omarjee@europarl.europa.eu,,https://twitter.com/younousomarjee,https://www.facebook.com/pages/category/politician/Younous-Omarjee-2310917338926472,https://www.facebook.com/younous.omarjee,France,The Left group in the European Parliament - GUE/NGL,https://www.instagram.com/younousomarjee,https://data.europarl.europa.eu/person/30482
96756,Ms,Sabine,Verheyen,,,female,Germany,Aachen,1964-10-24^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96756.jpg,mailto:sabine.verheyen@europarl.europa.eu,http://www.sabine-verheyen.de/,https://twitter.com/sabineverheyen,https://www.facebook.com/mdep.ac,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/sabineverheyen,https://data.europarl.europa.eu/person/96756
96787,Mr,Herbert,Dorfmann,,,male,Italy,Brixen,1969-03-04^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96787.jpg,mailto:herbert.dorfmann@europarl.europa.eu,http://www.herbert-dorfmann.eu,https://twitter.com/HerbertDorfmann,https://www.facebook.com/herbert.dorfmann,,Italy,Group of the European People's Party (Christian Democrats),https://www.instagram.com/herbertdorfmann/,https://data.europarl.europa.eu/person/96787
96752,Mr,Martin,Häusling,,,male,Germany,Bad Wildungen,1961-03-26^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96752.jpg,mailto:martin.haeusling@europarl.europa.eu,http://www.martin-haeusling.eu/,https://twitter.com/MartinHaeusling,https://www.facebook.com/martin.hausling,,Germany,Group of the Greens/European Free Alliance,https://www.instagram.com/martin_haeusling/,https://data.europarl.europa.eu/person/96752
96934,Ms,Sandra,Kalniete,,,female,Latvia,Tomskas apg. Kolpaševas raj. Toguras ciems,1952-12-22^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96934.jpg,mailto:sandra.kalniete@europarl.europa.eu,,https://twitter.com/kalniete,https://www.facebook.com/kalniete.sandra/,,Latvia,Group of the European People's Party (Christian Democrats),https://www.instagram.com/sandrakalnietelv/,https://data.europarl.europa.eu/person/96934
28615,Mr,Roberts,Zīle,,,male,Latvia,Rīga,1958-06-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28615.jpg,mailto:roberts.zile@europarl.europa.eu,,,,,Latvia,European Conservatives and Reformists Group,,https://data.europarl.europa.eu/person/28615
96810,Mr,Carlo,Fidanza,,,male,Italy,San Benedetto del Tronto,1976-09-21^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96810.jpg,mailto:carlo.fidanza@europarl.europa.eu,,http://twitter.com/fidanzacarlo,https://www.facebook.com/fidanzacarlo,,Italy,European Conservatives and Reformists Group,https://www.instagram.com/carlo.fidanza,https://data.europarl.europa.eu/person/96810
28223,Mr,Andreas,Schwab,,,male,Germany,Rottweil,,,https://www.europarl.europa.eu/mepphoto/28223.jpg,mailto:andreas.schwab@europarl.europa.eu,https://www.andreas-schwab.de,https://twitter.com/Andreas_Schwab,https://www.facebook.com/aschwab.mdep/,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/andreasschwab_mdep/?igshid=1qkxgol6ax7b6,https://data.europarl.europa.eu/person/28223
22858,Ms,Fabienne,Keller,,,female,France,Sélestat,1959-10-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/22858.jpg,mailto:fabienne.keller@europarl.europa.eu,https://fabiennekeller.eu/,https://twitter.com/fabienne_keller,https://www.facebook.com/KellerFabienne,,France,Renew Europe Group,https://www.instagram.com/fabienne_keller/,https://data.europarl.europa.eu/person/22858
1927,Mr,Peter,Liese,,,male,Germany,,1965-05-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1927.jpg,mailto:peter.liese@europarl.europa.eu,http://www.peter-liese.de/,http://twitter.com/peterliese,https://www.facebook.com/peter.liese,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/peter.liese.cdu/,https://data.europarl.europa.eu/person/1927
28298,Ms,Iratxe,García Pérez,,,female,Spain,Baracaldo,1974-10-07^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28298.jpg,mailto:iratxe.garcia-perez@europarl.europa.eu,http://www.iratxegarcia.es/,https://twitter.com/IratxeGarper,,https://www.facebook.com/iratxe.garciaperez?fref=ts,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/28298
96833,Mr,Jens,Geier,,,male,Germany,Frankfurt,1961-06-22^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96833.jpg,mailto:jens.geier@europarl.europa.eu,,,,,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/96833
96932,Ms,Birgit,Sippel,,,female,Germany,Bochum,1960-01-29^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96932.jpg,mailto:birgit.sippel@europarl.europa.eu,http://www.birgitsippel.de,https://twitter.com/BirgitSippelMEP,,https://www.facebook.com/BirgitSippel,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,https://www.instagram.com/birgit_sippel,https://data.europarl.europa.eu/person/96932
97236,Ms,Marie,Toussaint,,,female,France,LILLE,1987-05-27^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/97236.jpg,mailto:marie.toussaint@europarl.europa.eu,,https://twitter.com/marietouss1,,,France,Group of the Greens/European Free Alliance,,https://data.europarl.europa.eu/person/97236
39725,Mr,Iuliu,Winkler,,,male,Romania,Hunedoara,1964-03-14^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/39725.jpg,mailto:iuliu.winkler@europarl.europa.eu,https://winklergyula.ro/,https://twitter.com/iuliuwinkler,https://www.facebook.com/winkler.gyula/,,Romania,Group of the European People's Party (Christian Democrats),https://www.instagram.com/winkler.gyula/,https://data.europarl.europa.eu/person/39725
98341,Ms,Eva,Maydell,Ева,Майдел,female,Bulgaria,Sofia,1986-01-26^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/98341.jpg,mailto:eva.maydell@europarl.europa.eu,http://evamaydell.eu/,https://twitter.com/EvaMaydell,https://www.facebook.com/EvaMaydell,,Bulgaria,Group of the European People's Party (Christian Democrats),https://www.instagram.com/evamaydell/?hl=en,https://data.europarl.europa.eu/person/98341
96811,Ms,Rosa,Estaràs Ferragut,,,female,Spain,,1965-10-21^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96811.jpg,mailto:rosa.estaras@europarl.europa.eu,,https://x.com/IBenEuropa,,,Spain,Group of the European People's Party (Christian Democrats),https://www.instagram.com/rosaestaras/,https://data.europarl.europa.eu/person/96811
